Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,APRS-AU,145.175,,0,,88.5,88.5,23,NN,FM,5,,Australian,,,,
3,APRS-CN,144.64,,0,,88.5,88.5,23,NN,FM,5,,China,,,,
4,APRS-EU,144.8,,0,,88.5,88.5,23,NN,FM,5,,Europe,,,,
5,APRS-JP,144.64,,0,,88.5,88.5,23,NN,FM,5,,Japan,,,,
6,APRS-NA,144.39,,0,,88.5,88.5,23,NN,FM,5,,North American,,,,
7,APRS-NZ,144.575,,0,,88.5,88.5,23,NN,FM,5,,New Zealand,,,,
8,APRS-SA,144.93,,0,,88.5,88.5,23,NN,FM,5,,South American,,,,
9,APRS-SH,144.94,,0,,88.5,88.5,23,NN,FM,5,,Shanghai,,,,
10,APRS-ZJ,144.39,,0,,88.5,88.5,23,NN,FM,5,,Zhejiang,,,,
11,APRS-ZJ,431.04,,0,,88.5,88.5,23,NN,FM,5,,Zhejiang,,,,
