Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,FUZH-1,439.65,-,5,Tone,88.5,88.5,23,NN,FM,5,,福州,,,,
3,FUZH-2,439.75,-,5,Tone,82.5,88.5,23,NN,FM,5,,福州,,,,
4,QUANZ-V,147.975,-,3.9,Tone,88.5,88.5,23,NN,FM,5,,泉州,,,,
5,QUANZ-U,439.125,-,8,Tone,123,88.5,23,NN,FM,5,,泉州,,,,
6,XIAM-V,147.95,-,3.9,Tone,88.5,88.5,23,NN,FM,5,,厦门,,,,
7,XIAM-2,439.65,-,5,Tone,88.5,88.5,23,NN,FM,5,,厦门,,,,
8,XIAM-3,439.425,-,5,Tone,88.5,88.5,23,NN,FM,5,,厦门,,,,
9,XIAM-4,439.85,-,5,Tone,88.5,88.5,23,NN,FM,5,,厦门,,,,
10,ZHZH-1,146.65,-,2.5,Tone,88.5,88.5,23,NN,FM,5,,漳州,,,,
11,ZHZH-2,147.9,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,漳州,,,,
12,ZHZH-3,439.425,-,5,Tone,88.5,88.5,23,NN,FM,5,,漳州,,,,
13,ZHZH-4,439.5,-,5,Tone,88.5,88.5,23,NN,FM,5,,漳州,,,,
14,LONGYAN,439.85,-,8,Tone,88.5,88.5,23,NN,FM,5,,龙岩,,,,
15,YONGD,439.85,-,8,Tone,88.5,88.5,23,NN,FM,5,,永定,,,,
