Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,ANLU-1,438.325,-,5,Tone,88.5,88.5,23,NN,FM,5,,安陆,,,,
3,ANLU-2,438.375,-,5,Tone,88.5,88.5,23,NN,FM,5,,安陆,,,,
4,GONGAN,439.175,-,7.6,Tone,88.5,88.5,23,NN,FM,5,,公安,,,,
5,HANCH,439.85,-,8,Tone,94.8,88.5,23,NN,FM,5,,汉川,,,,
6,HANNAN,438.65,-,7,Tone,107.2,88.5,23,NN,FM,5,,汉南,,,,
7,JIANGX,439.575,-,7,Tone,69.3,88.5,23,NN,FM,5,,江夏,,,,
8,JIANLI,439.875,-,9,Tone,88.5,88.5,23,NN,FM,5,,监利,,,,
9,JINGMEN,438.7,-,8.6,Tone,97.4,88.5,23,NN,FM,5,,荆门,,,,
10,JINGZ-1,439.575,-,9,Tone,88.5,88.5,23,NN,FM,5,,荆州,,,,
11,JINGZ-2,439.675,-,5,Tone,77,88.5,23,NN,FM,5,,荆州,,,,
12,JINGZ-3,145.475,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,荆州,,,,
13,JINGZ-4,147.875,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,荆州,,,,
14,NANZH,439.95,-,8,,88.5,88.5,23,NN,FM,5,,南漳,,,,
15,SHIYAN,439.925,-,8,Tone,88.5,88.5,23,NN,FM,5,,十堰,,,,
16,SONGZI,147.845,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,松滋,,,,
17,SUIZHOU,439.925,-,5,Tone,88.5,88.5,23,NN,FM,5,,随州,,,,
18,WUHAN-U,438.9,-,7,Tone,88.5,88.5,23,NN,FM,5,,武汉,,,,
19,WUHAN-V,145.775,-,1.6,Tone,88.5,88.5,23,NN,FM,5,,武汉,,,,
20,XIANGY,439.925,-,5,Tone,88.5,88.5,23,NN,FM,5,,襄阳,,,,
21,XIANTAO,439.1625,-,7,Tone,88.5,88.5,23,NN,FM,5,,仙桃,,,,
22,XIAOG-1,439.4,-,8,Tone,118.8,88.5,23,NN,FM,5,,孝感,,,,
23,XIAOG-2,431.5,+,9,Tone,88.5,88.5,23,NN,FM,5,,孝感,,,,
24,YICH-U,439.95,-,9.5,Tone,67,88.5,23,NN,FM,5,,宜昌,,,,
25,YICH-V,147.925,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,宜昌,,,,
