Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,BAOT-1,438.5,-,4.975,Tone,88.5,88.5,23,NN,FM,5,,包头,,,,
3,BAOT-2,439.925,,0,,88.5,88.5,23,NN,FM,5,,包头,,,,
4,CHIFENG,439.35,-,8,Tone,88.5,88.5,23,NN,FM,5,,赤峰,,,,
5,DONGSH,439.75,-,5,Tone,88.5,88.5,23,NN,FM,5,,东胜,,,,
6,HAILAR,439.75,-,5,Tone,67,88.5,23,NN,FM,5,,海拉尔,,,,
7,HHHT-V,147.9,-,4,Tone,88.5,88.5,23,NN,FM,5,,呼和浩特,,,,
8,HHHT-2,439.6,-,5,Tone,88.5,88.5,23,NN,FM,5,,呼和浩特,,,,
9,HHHT-3,439.5,-,9,Tone,82.5,88.5,23,NN,FM,5,,呼和浩特,,,,
10,HHHT-4,439.75,-,5,Tone,88.5,88.5,23,NN,FM,5,,呼和浩特,,,,
11,JINING,439.6,-,5,Tone,88.5,88.5,23,NN,FM,5,,集宁,,,,
12,LINHE,439.6,-,5,Tone,88.5,88.5,23,NN,FM,5,,临河,,,,
13,TONGL,439.6,-,5,Tone,88.5,88.5,23,NN,FM,5,,通辽,,,,
14,WUHAI,438.65,-,5,Tone,88.5,88.5,23,NN,FM,5,,乌海,,,,
