Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,434.140000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,,144.140000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,TAIN,145.260000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
84,SANY-U,439.075000,-,7.600000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
85,SANY-V,144.100000,+,3.875000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
86,HAIK,438.575000,-,8.200000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
87,WUH-U,438.900000,-,7.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
88,WUH-V,145.775000,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
89,SHH-U3,439.175000,-,7.000000,Tone,94.8,88.5,023,NN,FM,5.00,,,,,,
90,SHH-U2,437.612500,-,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
91,SHH-U1,437.287500,-,6.875000,Tone,97.4,88.5,023,NN,FM,5.00,,,,,,
92,HARB-U,439.025000,-,5.000000,Tone,77.0,88.5,023,NN,FM,5.00,,,,,,
93,HARB-V,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
94,BEIJ-V,145.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,BEIJ-U,438.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,XIZ,439.887000,-,9.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
97,TIANT,439.850000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
98,DONGY,145.200000,split,430.100000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
99,DONGY-U,430.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
100,DONGY-V,145.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,YIW,145.260000,-,3.800000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
102,JINH,145.580000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
103,JIAS,145.320000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
104,HAIY,439.187500,-,8.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
105,HAIN,145.300000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
106,ANJ,439.650000,-,8.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
107,HUZ,439.512500,-,7.600000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
108,SHENGZH,439.600000,-,8.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
109,SHAOX,439.937500,-,8.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
110,ZHUJ-U,439.487500,-,8.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
111,ZHUJ-V,147.725000,-,5.700000,,88.5,88.5,023,NN,FM,5.00,,,,,,
112,SHANGY,439.587500,-,9.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
113,WENZ,145.420000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
114,YUY,439.550000,-,9.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
115,NINGB-U,438.375000,-,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
116,NINGB-V,147.935000,-,3.800000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
117,XIAOS,439.162500,-,8.800000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
118,LINP,439.487500,-,8.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
119,HANGZ-U,439.850000,-,9.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
120,HANGZ-V,144.900000,-,0.300000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
121,APRS-SH,144.940000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,APRS-US,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
123,APRS-ZJ,431.040000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
124,APRS-CN,144.640000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
125,ISS-V2,145.915000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,ISS-V1,143.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
127,ISS,145.800000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
