Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,URUMQ-1,144.7,-,0.6,Tone,250.3,88.5,23,NN,FM,5,,乌鲁木齐,,,,
3,URUMQ-2,144.7,,0,,88.5,88.5,23,NN,FM,5,,乌鲁木齐,,,,
4,URUMQ-3,144.975,,0,,88.5,88.5,23,NN,FM,5,,乌鲁木齐,,,,
5,URUMQ-4,438.975,,0,,88.5,88.5,23,NN,FM,5,,乌鲁木齐,,,,
6,CHANGJI,144.975,,0,,88.5,88.5,23,NN,FM,5,,昌吉,,,,
7,WUJIAQU,144.975,,0,,88.5,88.5,23,NN,FM,5,,五家渠,,,,
6,YINING,146.025,-,5.7,,88.5,88.5,23,NN,FM,5,,伊宁,,,,
7,KORLA,438.95,-,5,Tone,88.5,88.5,23,NN,FM,5,,库尔勒,,,,
8,KARAMAY,144.975,,0,,88.5,88.5,23,NN,FM,5,,克拉玛依,,,,
9,KUYTUN,144.975,,0,,88.5,88.5,23,NN,FM,5,,奎屯,,,,
