Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,KUNM-1,144.7,,0,Tone,88.5,88.5,23,NN,FM,5,,昆明,,,,
3,KUNM-2,144.8,,0,Tone,88.5,88.5,23,NN,FM,5,,昆明,,,,
4,KUNM-E,145.452,,0,Tone,88.5,88.5,23,NN,FM,5,,昆明,,,,
2,LUD,439.435,-,7.5,Tone,88.5,88.5,23,NN,FM,5,,鲁甸,,,,
3,QUJ-1,147.925,-,3.8,Tone,85.4,88.5,23,NN,FM,5,,曲靖,,,,
4,QUJ-2,147.95,-,3.9,Tone,88.5,88.5,23,NN,FM,5,,曲靖,,,,
2,CHUX-U,435.15,-,5,Tone,88.5,88.5,23,NN,FM,5,,楚雄,,,,
3,CHUX-V,147.875,-,3.8,,88.5,88.5,23,NN,FM,5,,楚雄,,,,
4,YUX,147.925,-,3.9,Tone,88.5,88.5,23,NN,FM,5,,玉溪,,,,
2,WENS,438.9,-,8,,88.5,88.5,23,NN,FM,5,,文山,,,,
3,DAL-V,147.875,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,大理,,,,
4,DAL-U,438.35,-,8,,88.5,88.5,23,NN,FM,5,,大理,,,,
2,LIJ,439.8,-,5,,88.5,88.5,23,NN,FM,5,,丽江,,,,
3,SHANGRI,439.8,-,5,,88.5,88.5,23,NN,FM,5,,香格里拉,,,,
