Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
2,ANJ,439.65,-,8,Tone,71.9,88.5,23,NN,FM,5,,安吉,,,,
3,CIX-1,438.3125,-,8,Tone,88.5,88.5,23,NN,FM,5,,慈溪,,,,
4,CIX-2,439.11,-,5,Tone,88.5,88.5,23,NN,FM,5,,慈溪,,,,
5,CIX-3,439.35,-,8,Tone,88.5,88.5,23,NN,FM,5,,慈溪,,,,
6,CIX-4,438.625,-,5,Tone,88.5,88.5,23,NN,FM,5,,慈溪,,,,
7,DONGY,145.2,split,430.1,Tone,88.5,88.5,23,NN,FM,5,,东阳,,,,
8,DONGY-U,430.1,,0,,88.5,88.5,23,NN,FM,5,,东阳,,,,
9,DONGY-V,145.1,,0,,88.5,88.5,23,NN,FM,5,,东阳,,,,
10,HAIN,145.3,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,海宁,,,,
11,HAIY,439.1875,-,8,Tone,88.5,88.5,23,NN,FM,5,,海盐,,,,
12,HANGZ-U,439.85,-,9,Tone,88.5,88.5,23,NN,FM,5,,杭州,,,,
13,HANGZ-V,144.9,-,0.3,Tone,88.5,88.5,23,NN,FM,5,,杭州,,,,
14,HUANGY,439.8,-,5,Tone,88.5,88.5,23,NN,FM,5,,黄岩,,,,
15,HUZ,439.5125,-,7.6,Tone,151.4,88.5,23,NN,FM,5,,湖州,,,,
16,JIAS,145.32,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,嘉善,,,,
17,JINH,145.58,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,金华,,,,
18,LINAN,145.22,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,临安,,,,
19,LINH,439.5,-,5,Tone,88.5,88.5,23,NN,FM,5,,临海,,,,
20,LINP,439.4875,-,8,Tone,88.5,88.5,23,NN,FM,5,,临平,,,,
21,LUQ-1,438.8,-,5,Tone,88.5,88.5,23,NN,FM,5,,路桥,,,,
22,LUQ-2,439.2,-,5,Tone,88.5,88.5,23,NN,FM,5,,路桥,,,,
23,NINGB-U,438.375,-,5,Tone,88.5,88.5,23,NN,FM,5,,宁波,,,,
24,NINGB-V,147.935,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,宁波,,,,
25,PUJ,145.49,split,431.65,Tone,88.5,88.5,23,NN,FM,5,,浦江,,,,
26,SHANGY,439.5875,-,9,Tone,88.5,88.5,23,NN,FM,5,,上虞,,,,
27,SHAOX,439.9375,-,8,Tone,118.8,88.5,23,NN,FM,5,,绍兴,,,,
28,SHENGZ,439.6,-,8,Tone,88.5,88.5,23,NN,FM,5,,嵊州,,,,
29,TIANT,439.85,-,5,Tone,88.5,88.5,23,NN,FM,5,,天台,,,,
30,WENL-1,439,-,5,Tone,88.5,88.5,23,NN,FM,5,,温岭,,,,
31,WENL-2,436.65,-,5,Tone,88.5,88.5,23,NN,FM,5,,温岭,,,,
32,WENZ,145.42,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,温州,,,,
33,XIAOS,439.1625,-,8.8,Tone,118.8,88.5,23,NN,FM,5,,萧山,,,,
34,YIW,145.26,-,3.8,Tone,88.5,88.5,23,NN,FM,5,,义乌,,,,
35,YUEQ,145.22,-,0.6,Tone,88.5,88.5,23,NN,FM,5,,乐清,,,,
36,YUH,438.75,-,5,Tone,88.5,88.5,23,NN,FM,5,,玉环,,,,
37,YUY,439.55,-,9,Tone,88.5,88.5,23,NN,FM,5,,余姚,,,,
38,ZHOUS-1,145.975,-,1.7,Tone,88.5,88.5,23,NN,FM,5,,舟山,,,,
39,ZHOUS-2,147.36,-,6,Tone,88.5,88.5,23,NN,FM,5,,舟山,,,,
40,ZHUJ-U,439.4875,-,8,Tone,88.5,88.5,23,NN,FM,5,,诸暨,,,,
41,ZHUJ-V,147.725,-,5.7,Tone,88.5,88.5,23,NN,FM,5,,诸暨,,,,
